,Unnamed: 0,id_0,name_0,id_1,name_1,song,successful_1,successful_0
0,0,61ZRdppZ5sCtl9m5gfhoGO,Riky Rick,7pJtnZQLPJmqzVfdIz7eFF,Francois van Coke,"{'popularity': 12, 'song_name': 'Not Like Them', 'release_date': '2019-10-18', 'artists': ['Francois van Coke', 'Riky Rick']}",0,0
1,1,36q2CY4RdBv9GgeapsKmmE,Billy Da Kid,6DgP9otnZw5z6daOntINxp,Joel Corry,"{'popularity': 27, 'song_name': 'You Get What You Give (Music in You) - Joel Corry Remix', 'release_date': '2019-10-11', 'artists': ['Billy Da Kid', 'Natalie Gray', 'Joel Corry']}",0,0
2,2,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,"{'popularity': 38, 'song_name': 'Lit (feat. Gucci Mane & T-Pain)', 'release_date': '2017-07-21', 'artists': ['Steve Aoki', 'Yellow Claw', 'Gucci Mane', 'T-Pain']}",0,0
3,3,3dnNuI5EU8TEdiAT73kj27,JessB,6cK3NBO6uP7hh0oyuVELFl,Saweetie,"{'popularity': 29, 'song_name': 'Best Friend (feat. Doja Cat, JessB & OKENYO) [Remix]', 'release_date': '2021-04-23', 'artists': ['Saweetie', 'JessB', 'OKENYO', 'Doja Cat']}",0,0
4,4,67nwj3Y5sZQLl72VNUHEYE,Wale,7u6LfVyYpEzMpHLL7jTyvU,Dwele,"{'popularity': 37, 'song_name': 'The White Shoes', 'release_date': '2015-03-31', 'artists': ['Wale', 'Dwele']}",0,0
5,5,6InMzDzV2TyJIsqSaHAPeA,808N,7hQmAXAzWI6D350VTgkKTG,Arash,"{'popularity': 57, 'song_name': 'BoroBoro - Radio Edit', 'release_date': '2005-02-01', 'artists': ['Arash']}",0,0
6,6,0LbAebKs7ZKbgtOnIizXLk,Boss Axis,61ipISvUVa5LkJlKZnm3Oo,Alle Farben,"{'popularity': 22, 'song_name': 'Challenger - Alle Farben Remix', 'release_date': '2013-07-26', 'artists': ['Boss Axis', 'Alle Farben']}",0,0
7,7,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,7qYeIN2r4H1kBvr0Gm9Iav,Randy,"{'popularity': 46, 'song_name': 'Ave Maria', 'release_date': '2018-04-21', 'artists': ['Eladio Carrion', 'KHEA', 'Big Soto', 'Randy']}",0,0
8,8,0701LAQrkY5Il5vt06uNnC,Trouble,6z7xFFHxYkE9t8bwIF0Bvg,Boosie Badazz,"{'popularity': 28, 'song_name': 'Trouble', 'release_date': '2014-10-30', 'artists': ['Boosie Badazz']}",0,0
9,9,0NIIxcxNHmOoyBx03SfTCD,Tinashe,3EK3opK9Hp93HJjBPupzfg,KDA,"{'popularity': 41, 'song_name': 'Just Say (feat. Tinashe)', 'release_date': '2016-11-04', 'artists': ['KDA', 'Tinashe']}",0,0
